Words,Tags,SentenceID
Pankaj,B-PER,1
Seth,I-PER,1
-361006,O,1
SunShine,O,1
2,O,1
Season,O,1
Of,O,1
Joy,O,1
Nalanda,O,1
Pitambarpeeth,O,1
Road,O,1
",",O,1
Dudhiya,O,1
Road,O,1
Indore,O,1
",",O,1
Madhya,O,1
Pradesh,O,1
",",O,1
India,O,1
452016,O,1
Contact:,O,1
91,O,1
9173685598,O,1
(,O,1
mail:,O,1
xxxxxxxxxxxxxxxxxxxxx,O,1
Data,O,1
Analyst,O,1
Total,O,1
8,O,1
Years,O,1
experience,O,1
in,O,1
"TCS,",O,1
7,O,1
Years�,O,1
experience,O,1
in,O,1
Measurement,O,1
science,O,1
team,O,1
and,O,1
one,O,1
Year,O,1
part,O,1
of,O,1
Digital,O,1
Store,O,1
analytics,O,1
Team,O,1
EXPERIENCE,O,1
SUMMARYData,O,1
Analyst,O,1
and,O,1
works,O,1
for,O,1
The,O,1
Ac,O,1
Nielsen,O,1
company,O,1
and,O,1
Microsoft,O,1
in,O,1
TATA,B-ORG,1
Consultancy,I-ORG,1
Services,I-ORG,1
Ltd,O,1
TCS,S-ORG,2
(Holds,O,2
Master,O,2
Degree,O,2
in,O,2
Statistics–,O,2
Msc,O,2
Statistics,O,2
(DAVV,O,3
8,O,3
University),O,3
years,O,3
of,O,3
Data,O,3
analytics,O,3
experience,O,3
Worked,O,4
extensively,O,4
in,O,4
Development,O,4
Reports,O,4
and,O,4
maintenance,O,4
project,O,4
of,O,4
MS,O,4
Power,B-TOOL,4
BI,I-TOOL,4
I,O,5
have,O,5
knowledge,O,5
SAS,S-TOOL,5
"R,",O,5
Qlik,B-TOOL,5
Sense,I-TOOL,5
Power,B-TOOL,5
BI,I-TOOL,5
and,O,5
Basis,O,5
SQL,S-TECH,5
Familiar,O,5
with,O,5
the,O,5
Develop,O,5
the,O,5
Data,O,5
Modeling,O,5
in,O,5
logistic,O,5
"regression,",O,5
Market,O,5
Basket,O,5
Analysis,O,5
and,O,5
Sentiment,B-TECH,5
Analysis,I-TECH,5
TECHNICAL,O,6
SKILLSBI,O,6
Tool,O,6
MS,O,6
Power,B-TOOL,6
BI,I-TOOL,6
Qlik,B-TOOL,6
Sense,I-TOOL,6
anguages,O,6
"R,",O,6
Base,O,6
SAS,S-TOOL,6
atabase,O,6
Base,O,6
SQL,S-TECH,6
PROFESSIONAL,O,6
EXPERIENCE,O,6
