Words,Tags,SentenceID
(,O,1
s.kwatra@tcs.com,S-EMAIL,1
),O,1
.,O,1
sakshi,B-PER,2
kwatra,I-PER,2
(,O,2
1494224,O,2
),O,2
.,O,2
wz-1539,O,3
rani,O,3
bagh,O,3
north,O,3
west,O,3
delhi,O,3
.,O,3
delhi-110034,O,4
.,O,4
contact,O,5
:,O,5
+91,O,5
(,O,5
7678634708,S-CON,5
),O,5
.,O,5
mail,O,6
:,O,6
.,O,6
2,B-EXP,7
months,I-EXP,7
experience,O,7
in,O,7
java,S-TECH,7
domain,O,7
in,O,7
tcs,S-ORG,7
ilp,O,7
ahmedabad,O,7
(,O,7
initial,O,7
learning,O,7
program,O,7
),O,7
.,O,7
2,B-EXP,8
months,I-EXP,8
experience,O,8
in,O,8
conversational,O,8
experiencesteam,O,8
(,O,8
currently,O,8
working,O,8
),O,8
.,O,8
experience,O,9
summary,O,9
.,O,9
assistant,B-DES,10
system,I-DES,10
engineer,I-DES,10
working,O,10
for,O,10
conversational,O,10
experiences,O,10
team,O,10
of,O,10
tata,O,10
consultancy,O,10
services,O,10
ltd,O,10
(,O,10
tcs,S-ORG,10
),O,10
.,O,10
working,O,11
on,O,11
amazon,O,11
technology,O,11
(,O,11
lex,O,11
alexa,O,11
skillls,O,11
),O,11
.,O,11
.,O,12
development,O,13
tool,O,13
.,O,13
eclipse,S-TECH,14
netbeans,O,14
.,O,14
languages,O,15
.,O,15
c,O,16
c++,S-TECH,16
j2se,S-TECH,16
j2ee,S-TECH,16
html,S-TECH,16
javascript,S-TECH,16
basics,O,16
of,O,16
(,O,16
angular,S-TECH,16
s,O,16
angular2,O,16
python,S-TECH,16
),O,16
.,O,16
database,O,17
.,O,17
oracle,B-TECH,18
10g,I-TECH,18
mysql,S-TECH,18
sqldbx,S-TECH,18
.,O,18
servers,O,19
/,O,19
portal,O,19
.,O,19
apache,B-TECH,20
tomcat,I-TECH,20
.,O,20
operating,O,21
system,O,21
.,O,21
unix,O,22
windows,B-TECH,22
xp,I-TECH,22
windows,O,22
7,O,22
windows,O,22
8,O,22
windows,O,22
10,O,22
.,O,22
technology,O,23
.,O,23
hadoop,B-TECH,24
development,I-TECH,24
.,O,24
software,O,25
packages,O,25
.,O,25
oracle,O,26
vm,O,26
virtual,O,26
box,O,26
.,O,26
professional,O,27
experience,O,27
.,O,27
tcs,S-ORG,28
.,O,28
assistant,B-DES,29
system,I-DES,29
engineer,I-DES,29
-,I-DES,29
trainee,I-DES,29
.,O,29
26-03-2018,O,30
till,O,30
date,O,30
.,O,30
training,O,31
.,O,31
attented,O,32
session,O,32
on,O,32
amazon,O,32
alexa,O,32
lex,O,32
and,O,32
chatbot,O,32
services,O,32
.,O,32
project,O,33
annexure,O,33
.,O,33
project,O,34
:,O,34
banking,O,34
website,O,34
(,O,34
in,O,34
tcs,S-ORG,34
ilp,O,34
),O,34
.,O,34
language,O,35
used,O,35
:,O,35
java,S-TECH,35
.,O,35
front,O,36
end,O,36
:,O,36
html,S-TECH,36
css,S-TECH,36
javascipt,S-TECH,36
bootstrap,S-TECH,36
angular,S-TECH,36
s,O,36
.,O,36
back,O,37
end,O,37
:,O,37
sqldbx,S-TECH,37
.,O,37
project,O,38
:,O,38
"""showtime""",O,38
(,O,38
online,O,38
movie,O,38
ticket,O,38
booking,O,38
),O,38
.,O,38
language,O,39
used,O,39
:,O,39
java,S-TECH,39
.,O,39
front,O,40
end,O,40
:,O,40
html,S-TECH,40
css,S-TECH,40
javascipt,S-TECH,40
bootstrap,S-TECH,40
.,O,40
back,O,41
end,O,41
:,O,41
mysql,S-TECH,41
.,O,41
tools,O,42
for,O,42
development,O,42
:,O,42
eclipse,S-TECH,42
luna,O,42
(,O,42
ide,O,42
),O,42
apache,B-TECH,42
tomcat,I-TECH,42
(,O,42
server,O,42
),O,42
.,O,42
project,O,43
:,O,43
"""implementation",O,43
of,O,43
data,O,43
extraction,O,43
using,O,43
"hadoop""",O,43
.,O,43
description,O,44
:,O,44
the,O,44
project,O,44
is,O,44
about,O,44
fetching,O,44
twitter,O,44
data,O,44
extracting,O,44
twitter,O,44
